"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\adminController.js", "JavaScript", 12, 3, 4, 19
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\authController.js", "JavaScript", 104, 0, 12, 116
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\commentController.js", "JavaScript", 23, 0, 4, 27
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\notificationController.js", "JavaScript", 28, 0, 6, 34
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\postController.js", "JavaScript", 122, 0, 14, 136
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\tagController.js", "JavaScript", 19, 0, 5, 24
"d:\20200118_DATN_2023.2\it4um-server\src\controllers\userController.js", "JavaScript", 47, 0, 7, 54
"d:\20200118_DATN_2023.2\it4um-server\src\index.js", "JavaScript", 32, 0, 7, 39
"d:\20200118_DATN_2023.2\it4um-server\src\middlewares\authMiddleware.js", "JavaScript", 49, 0, 4, 53
"d:\20200118_DATN_2023.2\it4um-server\src\models\Admin.js", "JavaScript", 32, 0, 5, 37
"d:\20200118_DATN_2023.2\it4um-server\src\models\Comment.js", "JavaScript", 21, 0, 3, 24
"d:\20200118_DATN_2023.2\it4um-server\src\models\EmailBanList.js", "JavaScript", 8, 0, 3, 11
"d:\20200118_DATN_2023.2\it4um-server\src\models\Notification.js", "JavaScript", 21, 0, 3, 24
"d:\20200118_DATN_2023.2\it4um-server\src\models\Post.js", "JavaScript", 14, 0, 3, 17
"d:\20200118_DATN_2023.2\it4um-server\src\models\Tag.js", "JavaScript", 6, 0, 3, 9
"d:\20200118_DATN_2023.2\it4um-server\src\models\User.js", "JavaScript", 38, 0, 5, 43
"d:\20200118_DATN_2023.2\it4um-server\src\mongoConfig.js", "JavaScript", 10, 0, 4, 14
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\CommentRepo.js", "JavaScript", 56, 2, 13, 71
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\NotificationRepo.js", "JavaScript", 75, 0, 12, 87
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\PostRepo.js", "JavaScript", 113, 4, 25, 142
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\UserRepo.js", "JavaScript", 63, 0, 8, 71
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\adminRepo.js", "JavaScript", 18, 0, 4, 22
"d:\20200118_DATN_2023.2\it4um-server\src\repositories\tagRepo.js", "JavaScript", 10, 0, 4, 14
"d:\20200118_DATN_2023.2\it4um-server\src\routes\adminRoute.js", "JavaScript", 10, 0, 4, 14
"d:\20200118_DATN_2023.2\it4um-server\src\routes\authRoute.js", "JavaScript", 17, 0, 4, 21
"d:\20200118_DATN_2023.2\it4um-server\src\routes\commentRoute.js", "JavaScript", 10, 0, 4, 14
"d:\20200118_DATN_2023.2\it4um-server\src\routes\notificationRoute.js", "JavaScript", 14, 0, 4, 18
"d:\20200118_DATN_2023.2\it4um-server\src\routes\postRoute.js", "JavaScript", 31, 0, 12, 43
"d:\20200118_DATN_2023.2\it4um-server\src\routes\tagRoute.js", "JavaScript", 10, 0, 3, 13
"d:\20200118_DATN_2023.2\it4um-server\src\routes\userRoute.js", "JavaScript", 11, 0, 4, 15
"d:\20200118_DATN_2023.2\it4um-server\src\services\adminService.js", "JavaScript", 29, 5, 6, 40
"d:\20200118_DATN_2023.2\it4um-server\src\services\authService.js", "JavaScript", 84, 3, 13, 100
"d:\20200118_DATN_2023.2\it4um-server\src\services\commentService.js", "JavaScript", 87, 5, 13, 105
"d:\20200118_DATN_2023.2\it4um-server\src\services\notificationService.js", "JavaScript", 41, 0, 5, 46
"d:\20200118_DATN_2023.2\it4um-server\src\services\otpService.js", "JavaScript", 33, 1, 7, 41
"d:\20200118_DATN_2023.2\it4um-server\src\services\postService.js", "JavaScript", 116, 1, 16, 133
"d:\20200118_DATN_2023.2\it4um-server\src\services\tagService.js", "JavaScript", 20, 0, 4, 24
"d:\20200118_DATN_2023.2\it4um-server\src\services\userService.js", "JavaScript", 35, 3, 6, 44
"d:\20200118_DATN_2023.2\it4um-server\src\utils\otpStore.js", "JavaScript", 29, 0, 7, 36
"d:\20200118_DATN_2023.2\it4um-server\src\utils\passwordUtil.js", "JavaScript", 14, 0, 4, 18
"Total", "-", 1512, 27, 274, 1813
